"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value"
"MDRB vs rCDI",2.51274667264365,1.78348550694509,Inf,0.511956390693832,12.3328782600502,1,1.29812414609713,0.388489356474164
"Melanoma vs rCDI",3.72165997649217,3.89303143735934,Inf,0.356848873348756,38.8140583173064,1,1.25631997119125,0.388489356474164
