"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value"
"MDRB vs rCDI",8.36705595227087,9.34896393164694,Inf,0.683766802575683,102.385235791968,1,1.90118975010315,0.114554326324401
"Melanoma vs rCDI",4.04328196624397,5.23258051663332,Inf,0.222320242017847,73.5341456548133,1,1.07952362405654,0.280354368289805
