"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value"
"MDRB vs rCDI",1.68026402972238,1.73930554760834,Inf,0.165098877141298,17.1005839558957,1,0.501334915872929,1
"Melanoma vs rCDI",1.04794740718457,0.917617492230442,Inf,0.147222072240165,7.45943696834652,1,0.0534851844063839,1
