"model","parameters","log_likelihood","AIC","BIC","convergence_code","positive_definite_hessian"
"Parsimonious: non_host_length only",7,-66.0087559497684,146.017511899537,156.904948329963,0,TRUE
"Full: all assembly covariates",9,-64.8145555203336,147.629111040667,161.627243594072,0,TRUE
