"model","parameters","log_likelihood","AIC","BIC","convergence_code","positive_definite_hessian"
"Reduced: cohort + log(k_post) + (1|study)",6,-66.0486375775895,144.097275155179,153.429363524115,0,TRUE
"Full: reduced + assembly covariates",9,-64.8145555203336,147.629111040667,161.627243594072,0,TRUE
