"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value"
"MDRB vs rCDI",6.77592803305599,7.24067163110227,Inf,0.617696229924167,74.3297408740713,1,1.7905659884005,0.146725938118182
"Melanoma vs rCDI",3.61617211724584,4.13612997057244,Inf,0.278518488548088,46.9509254115045,1,1.12382484996311,0.261087337171711
