"contrast","MGE_class","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value","holm_p_across_8","significant_holm_0.05"
"MDRB vs rCDI","plasmid",22.8888923090146,45.5649353792648,Inf,0.462527132810857,1132.6933145518,1,1.57263803750628,0.115802654792194,0.694815928753162,FALSE
"Melanoma vs rCDI","plasmid",4.008765980105,9.86810654307594,Inf,0.0321859077849352,499.293193487895,1,0.564049975278313,0.572720121448368,0.933947703864532,FALSE
"MDRB vs rCDI","likely IS/TE",23.288377233977,47.5959886350816,Inf,0.424114025769668,1278.77995359333,1,1.5402716027186,0.123494162727346,0.694815928753162,FALSE
"Melanoma vs rCDI","likely IS/TE",6.29867839466623,15.8988739631263,Inf,0.0447383836284791,886.785491601451,1,0.729089919850555,0.465946660232173,0.933947703864532,FALSE
"MDRB vs rCDI","prophage",298.366019308498,622.121856507191,Inf,5.01085974743346,17765.8697239722,1,2.73288155915475,0.00627829046428183,0.0502263237142546,FALSE
"Melanoma vs rCDI","prophage",19.5223970971327,48.6913052712265,Inf,0.14707193456145,2591.4120838527,1,1.19142463672499,0.233486925966133,0.933947703864532,FALSE
"MDRB vs rCDI","virus",284.840083193378,610.271811695277,Inf,4.2746052987741,18980.4361625806,1,2.63799766853497,0.0083397155240327,0.0583780086682289,FALSE
"Melanoma vs rCDI","virus",16.5093003328923,42.298102105782,Inf,0.108864076991917,2503.64495812401,1,1.09439476285359,0.273781879864738,0.933947703864532,FALSE
