ARG_Name,MGE_Name,PatientCount,Label
ANT3-DPRIME,gene:plasmid:24769,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24770,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24771,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24773,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24775,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24776,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24777,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24778,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24779,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24780,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24781,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24791,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24793,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24804,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24806,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:24807,1,PreFMT Only
ANT6,gene:plasmid:15664,2,PreFMT Only
ANT6,gene:plasmid:15665,1,PreFMT Only
APH3-DPRIME,gene:plasmid:117488,1,PreFMT Only
APH3-DPRIME,gene:plasmid:135994,1,PreFMT Only
APH3-DPRIME,gene:plasmid:136001,1,PreFMT Only
APH3-DPRIME,gene:plasmid:142025,1,PreFMT Only
APH3-DPRIME,gene:plasmid:15301,2,PreFMT Only
APH3-DPRIME,gene:plasmid:15302,2,PreFMT Only
APH3-DPRIME,gene:plasmid:15303,1,PreFMT Only
APH3-DPRIME,gene:plasmid:15306,1,PreFMT Only
APH3-DPRIME,gene:plasmid:154429,1,PreFMT Only
APH3-DPRIME,gene:plasmid:156805,1,PreFMT Only
APH3-DPRIME,gene:plasmid:157713,1,PreFMT Only
APH3-DPRIME,gene:plasmid:15970,1,PreFMT Only
APH3-DPRIME,gene:plasmid:19728,1,PreFMT Only
APH3-DPRIME,gene:plasmid:25331,1,PreFMT Only
APH3-DPRIME,gene:plasmid:25332,1,PreFMT Only
APH3-DPRIME,gene:plasmid:25333,1,PreFMT Only
APH3-DPRIME,gene:plasmid:87059,1,PreFMT Only
APH3-DPRIME,gene:plasmid:87066,1,PreFMT Only
APH3-DPRIME,gene:plasmid:90631,1,PreFMT Only
APH3-DPRIME,gene:plasmid:90633,2,PreFMT Only
APH3-DPRIME,gene:plasmid:91748,1,PreFMT Only
APH3-DPRIME,gene:plasmid:91749,1,PreFMT Only
APH3-DPRIME,gene:plasmid:91750,1,PreFMT Only
APH3-DPRIME,gene:plasmid:91771,1,PreFMT Only
APH3-DPRIME,gene:plasmid:91772,1,PreFMT Only
APH3-DPRIME,gene:plasmid:91773,1,PreFMT Only
APH3-DPRIME,gene:plasmid:91774,1,PreFMT Only
APH3-DPRIME,gene:plasmid:91775,1,PreFMT Only
APH3-DPRIME,gene:plasmid:91776,1,PreFMT Only
APH3-PRIME,gene:plasmid:91581,1,PreFMT Only
APH3-PRIME,gene:plasmid:91662,1,PreFMT Only
APH6,gene:plasmid:136289,1,PreFMT Only
APH6,gene:plasmid:16015,1,PreFMT Only
ARIR,gene:proph:172517,3,PreFMT Only
ARIR,gene:proph:172518,3,PreFMT Only
ARIR,gene:proph:172519,3,PreFMT Only
