CFX,gene:plasmid:141426,33,Donor & PostFMT Only
CFX,gene:plasmid:141426,35,Donor & PostFMT Only
TETX,gene:plasmid:13200,35,Donor & PostFMT Only
TETX,gene:plasmid:13201,35,Donor & PostFMT Only
TETX,gene:plasmid:13202,35,Donor & PostFMT Only
CFX,gene:plasmid:141426,39,Donor & PostFMT Only
ERMX,gene:plasmid:14930,41,Donor & PostFMT Only
CFX,gene:plasmid:141426,42,Donor & PostFMT Only
ERMX,gene:plasmid:14929,42,Donor & PostFMT Only
ERMX,gene:plasmid:14930,42,Donor & PostFMT Only
ERMX,gene:plasmid:14930,43,Donor & PostFMT Only
CFX,gene:plasmid:141426,44,Donor & PostFMT Only
CFX,gene:plasmid:141426,45,Donor & PostFMT Only
MEFE,gene:plasmid:141426,45,Donor & PostFMT Only
CFX,gene:plasmid:141426,46,Donor & PostFMT Only
TETQ,ICEberg|58|ICEBfrYCH46-1|Ge...,46,Donor & PostFMT Only
CFX,gene:plasmid:141426,48,Donor & PostFMT Only
ASR,gene:proph:183581,55,Donor & PostFMT Only
COPA,gene:plasmid:88435,55,Donor & PostFMT Only
COPA,gene:plasmid:88436,55,Donor & PostFMT Only
COPA,gene:plasmid:88437,55,Donor & PostFMT Only
COPA,gene:proph:179486,55,Donor & PostFMT Only
COPA,gene:proph:181087,55,Donor & PostFMT Only
COPA,gene:proph:181113,55,Donor & PostFMT Only
COPA,gene:vir:4533,55,Donor & PostFMT Only
COPA,gene:vir:4534,55,Donor & PostFMT Only
COPA,gene:vir:4536,55,Donor & PostFMT Only
COPA,gene:vir:4537,55,Donor & PostFMT Only
COPA,gene:vir:4547,55,Donor & PostFMT Only
CORA,gene:plasmid:24561,55,Donor & PostFMT Only
DNAK,gene:plasmid:158140,55,Donor & PostFMT Only
DSBC,gene:plasmid:123177,55,Donor & PostFMT Only
DSBC,gene:plasmid:151300,55,Donor & PostFMT Only
EMRD,gene:proph:179438,55,Donor & PostFMT Only
FECD,gene:plasmid:114202,55,Donor & PostFMT Only
FECD,gene:plasmid:142025,55,Donor & PostFMT Only
TETA,gene:plasmid:121923,55,Donor & PostFMT Only
TETA,gene:plasmid:123352,55,Donor & PostFMT Only
TETA,gene:plasmid:123353,55,Donor & PostFMT Only
TETA,gene:plasmid:123355,55,Donor & PostFMT Only
